Timestamp;CBike;CBikeOverWalk;CBikeOverPbike;attrTime;attrMoney;attrExtraC;attrWork;attrAttend;Important;CompClassTime;CompAttend;CompTime;CompMoney;Gender;Age;Nationality;College;Program
11/20/2018 14:27:29;7;5;2;6;4;5;5;5;6;5;6;6;6;Female;22;International;Management;Undergraduate
11/20/2018 14:34:07;2;7;1;7;4;7;2;6;7;4;7;7;7;Female;20;International;Management;Graduate
11/20/2018 14:36:16;6;3;6;2;6;7;1;3;7;5;6;6;5;Male;22;International;Management;Undergraduate
11/20/2018 14:37:22;6;7;1;6;6;2;7;2;3;5;5;4;3;Male;25;International;Management;Graduate
11/20/2018 14:40:26;7;4;3;5;2;1;4;2;7;4;2;1;4;Male;19;International;Management;Undergraduate
11/20/2018 14:42:16;7;6;4;6;5;6;6;5;7;6;6;6;5;Male;23;International;Management;Graduate
11/20/2018 15:02:02;5;4;6;5;5;2;2;7;5;4;4;6;2;Female;22;International;Management;Undergraduate
11/20/2018 15:06:22;7;6;7;6;5;4;6;2;7;6;4;7;5;Female;21;International;Management;Undergraduate
11/20/2018 15:47:34;7;7;7;7;5;7;1;7;7;5;5;7;6;Female;23;International;Management;Graduate
11/20/2018 18:05:20;2;7;7;7;7;7;5;6;7;7;7;7;6;Male;24;Taiwanese;Life;Graduate
11/20/2018 18:36:31;4;3;2;5;7;6;2;6;7;5;4;2;4;Female;21;International;Bio;Undergraduate
11/20/2018 19:41:18;7;7;7;4;5;5;5;4;7;7;6;7;5;Female;21;International;Management;Undergraduate
11/20/2018 20:45:28;7;7;6;5;2;6;4;6;7;7;4;7;5;Male;20;International;Management;Undergraduate
11/21/2018 1:47:43;5;3;1;4;7;5;5;6;7;5;4;3;3;Male;25;International;Science;Graduate
11/21/2018 8:28:31;5;5;4;6;7;7;7;5;7;6;7;6;5;Female;22;International;Science;Graduate
11/21/2018 17:35:17;5;5;3;7;5;2;3;3;7;6;6;4;2;Female;20;International;Management;Undergraduate
11/22/2018 15:26:27;7;7;7;7;7;7;7;7;7;7;7;7;7;Female;20;International;Management;Undergraduate
11/22/2018 16:02:31;7;7;6;7;4;6;6;5;7;5;5;3;3;Female;19;Taiwanese;Management;Undergraduate
11/22/2018 17:14:17;6;4;6;6;3;5;4;6;7;2;4;4;4;Female;24;Taiwanese;Law;Graduate
